Date,GOLD
2000-08-30,0.0
2000-08-31,0.016064235102346336
2000-09-01,-0.004671174451993942
2000-09-05,-0.004332174032603775
2000-09-06,-0.005801217029561823
2000-09-07,-0.0007294390887198077
2000-09-08,-0.0025547890767564363
2000-09-11,-0.0007317295952630198
2000-09-12,-0.0007323771606048135
2000-09-13,-0.0003664569650139171
2000-09-14,-0.0014662533518438048
2000-09-15,-0.00036712960997209443
2000-09-18,-0.0033051558458704333
2000-09-19,0.0018422992308197994
2000-09-20,-0.010665663705709538
2000-09-21,0.00483266837534857
2000-09-22,0.005549389817763872
2000-09-25,0.008462172236368248
2000-09-26,-0.0007297052264775283
2000-09-27,0.0164293541448588
2000-09-28,-0.010057427637767291
2000-09-29,-0.007256893888633598
2000-10-02,-0.0018274853393490664
2000-10-03,-0.005492493469338999
2000-10-04,-0.0047865179725047335
2000-10-05,0.0011099457051277906
2000-10-06,-0.004804206508589481
2000-10-09,0.002970732814001842
2000-10-10,0.008515319292837331
2000-10-11,-0.006975014460559814
2000-10-12,0.02181143769495142
2000-10-13,-0.014471780348512042
2000-10-16,-0.00330394242529386
2000-10-17,-0.0014732740202002548
2000-10-18,-0.0029510080875519984
2000-10-19,-0.0007398509007935372
2000-10-20,0.004072588221616158
2000-10-23,-0.004056069520660288
2000-10-24,0.0
2000-10-25,-0.014439073707350092
2000-10-26,-0.004883614766838629
2000-10-27,-0.001887504762251524
2000-10-30,-0.00037823791915359006
2000-10-31,0.0022701707575771835
2000-11-01,-0.003775009524502937
2000-11-02,0.0018946571108906518
2000-11-03,0.0007564758383071801
2000-11-06,-0.0003779520075918308
2000-11-07,-0.0007561898186436711
2000-11-08,0.0026485517947869575
2000-11-09,0.0030188218602593686
2000-11-10,-0.004890849709072609
2000-11-13,-0.0007561898186436711
2000-11-14,0.0022701707575771835
2000-11-15,0.000755047986559898
2000-11-16,0.0026404438828258048
2000-11-17,-0.0003761308898756477
2000-11-20,0.0022580939344105655
2000-11-21,-0.0022530064342471956
2000-11-22,0.0022580939344105655
2000-11-27,0.014269690141710312
2000-11-28,-0.0011107675074686352
2000-11-29,-0.01260190530139449
2000-11-30,0.013888935029289007
2000-12-01,-0.005183242742866967
2000-12-04,0.007443244916784719
2000-12-05,-0.0011083054932314873
2000-12-06,0.014423054676463432
2000-12-07,-0.004010118975170007
2000-12-08,-0.003660321944796263
2000-12-11,-0.007347538245071172
2000-12-12,0.0003700058527786876
2000-12-13,-0.0062892407185575205
2000-12-14,0.0014891805189691798
2000-12-15,0.005204438276893653
2000-12-18,-0.0025886897383625707
2000-12-19,0.0
2000-12-20,0.010381860089866635
2000-12-21,0.004403714521215685
2000-12-22,0.0
2000-12-26,0.0014614317816756817
2000-12-27,0.004013156070854729
2000-12-28,-0.012718022691681319
2000-12-29,0.001104114020945124
2001-01-02,-0.013235316557042687
2001-01-03,-0.0014902902592414113
2001-01-04,-0.002611985847131515
2001-01-05,0.0026188261840602856
2001-01-08,0.0
2001-01-09,-0.001865671641791078
2001-01-10,-0.010467244085864524
2001-01-11,-0.002644549205701341
2001-01-12,-0.00037881099816527986
2001-01-16,-0.002273611661207431
2001-01-17,-0.0003797022049849552
2001-01-18,0.003799391921051276
2001-01-19,0.00037840871051564307
2001-01-22,0.007945539918679856
2001-01-23,-0.0011260803297364896
2001-01-24,-0.006764442950995875
2001-01-25,0.000756762074419548
2001-01-26,-0.006427267323369512
2001-01-29,0.0
2001-01-30,0.010274019529857403
2001-01-31,0.00037667082303438626
2001-02-01,0.010918651467779483
2001-02-02,-0.005214129968284409
2001-02-05,-0.007113417645329578
2001-02-06,-0.007164495952508565
2001-02-07,-0.0018989746417806819
2001-02-08,-0.010273903405125462
2001-02-09,-0.0007689819390148678
2001-02-12,0.003078177488782474
