Date,S&P GSCI,GOLD,EUR-USD,MSCI World
1999-01-04,0.013080665903536,287.1,1.1789,0.0015677137299019
1999-01-05,-0.0087562535164795,286.7,1.179,0.01
1999-01-06,0.0296450920856141,287.5,1.1743,0.0101593188360955
1999-01-07,0.0019630964493304,291.3,1.1632,0.0189209496701614
1999-01-08,0.0068210032512814,291.0,1.1659,-0.00326225379679
1999-01-11,0.0121801977759008,292.65,1.1569,-0.0006713047786184
1999-01-12,-0.0143833967341585,288.3,1.152,-0.0087336445982658
1999-01-13,-0.0202283130241075,286.7,1.1744,-0.0169434086634552
1999-01-14,-0.0016221886788376,286.6,1.1653,-0.0134436188018994
1999-01-15,-0.0023633093046837,286.8,1.1626,-0.0069007897249387
1999-01-19,-0.0111045304979789,286.3,1.1616,0.0085781341508444
1999-01-20,-0.0085342070221727,287.0,1.1575,0.0024914299089884
1999-01-21,0.0166112723322811,287.5,1.1572,0.0057416668366592
1999-01-22,0.0045306046725848,286.3,1.1567,-0.0115882548303117
1999-01-25,-0.0133087101793553,287.6,1.1584,-0.015344869679418
1999-01-26,-0.0095915984156471,285.9,1.1582,0.0049029048289701
1999-01-27,0.0075660135723218,283.1,1.1529,0.0102804724305944
1999-01-28,0.0089359649903768,283.9,1.141,-0.0044842629194153
1999-01-29,0.0067728762874035,286.1,1.1384,0.0090090299671825
1999-02-01,-0.0131588580104692,288.5,1.1338,0.0077266480277491
1999-02-02,0.0031462892476008,288.4,1.1337,0.001192624199622
1999-02-03,0.0001492719970519,287.3,1.1337,-0.0041694201389848
1999-02-04,-0.0060479175904578,289.2,1.1263,-0.0011962952709986
1999-02-05,-0.0006009753154232,288.3,1.1292,-0.0115493196321619
1999-02-08,0.0004510885478905,289.25,1.1246,-0.0071837014477598
1999-02-09,-0.0019534917633495,287.4,1.1333,-0.0018306822688797
1999-02-10,0.0009786576813946,287.0,1.1342,-0.0186026627319868
1999-02-11,0.0010528644684004,287.5,1.1312,0.0007119772740851
1999-02-12,-0.0018030613181846,289.3,1.1244,0.0173410404624276
1999-02-16,-0.0216000242542061,285.2,1.1176,0.0
1999-02-17,0.002230717585637,284.6,1.1253,0.0029885071284043
1999-02-18,0.0147364611763989,285.5,1.1232,-0.0092016477299532
1999-02-19,-0.0060510022776808,288.0,1.1163,0.0047762467103042
1999-02-22,-0.0016741588507128,286.9,1.0992,-0.0010562950456646
1999-02-23,0.0144827643961129,287.0,1.0969,0.0170073369116814
1999-02-24,-0.0029303433795151,287.5,1.1037,0.003292651337416
1999-02-25,0.004069393800608,287.5,1.1031,-0.0052681366761558
1999-02-26,-0.0182378252355669,286.6,1.1018,-0.0042542318165795
1999-03-01,0.0022934260175597,286.25,1.0986,-0.0048827059610522
1999-03-02,0.0115170048036497,286.7,1.0887,-0.0077981460030611
1999-03-03,0.0116121897272056,286.8,1.0899,-0.0051219080740713
1999-03-04,0.0156528830307394,287.7,1.0866,-0.0027516204980612
1999-03-05,0.0070454040258971,287.9,1.0834,0.0071206052514463
1999-03-08,0.0149395352974863,291.0,1.0908,0.0250994471180401
1999-03-09,0.0068212602793036,291.7,1.0863,0.0029313081666499
1999-03-10,0.0321637032347283,292.8,1.0953,0.0
1999-03-11,-0.0121605372679566,293.9,1.0891,0.0106592468179136
1999-03-12,-0.0006294770729678,292.1,1.0932,0.0064643174040066
1999-03-15,-0.0061590485214096,286.7,1.0949,0.0032112960373624
1999-03-16,0.0029577335841219,283.4,1.0901,0.0064864572492193
1999-03-17,0.0221177446690929,283.7,1.0966,0.0023434270533875
1999-03-18,-0.002198305338448,283.0,1.1012,-0.0021709883424684
1999-03-19,0.00798625584929,284.0,1.0915,0.003347280334728
1999-03-22,0.0195341885036215,284.2,1.0864,-0.000333631704806
1999-03-23,-0.0069672976160941,284.3,1.0896,-0.003837790488598
1999-03-24,-0.008028081196154,283.8,1.0928,-0.0204355313350607
1999-03-25,0.0167301878821508,283.2,1.0898,-0.0025649795337051
1999-03-26,0.018127135209814,279.5,1.0815,0.0145722615770342
1999-03-29,0.0045331262872503,280.1,1.0692,-0.0080263604224029
1999-03-30,0.0091563715576159,279.0,1.0711,0.0153308920656582
1999-03-31,-0.0023331212134247,279.8,1.0742,-0.0032715581695617
1999-04-01,-0.0070157321938835,280.2,1.0772,-0.0005890853397062
1999-04-05,0.0069344338241614,278.2,1.0752,0.0050526315789474
1999-04-06,-0.0003897970329228,279.75,1.0726,0.0089651874083578
1999-04-07,-0.0232029592490367,280.1,1.0812,0.0058961118951552
1999-04-08,-0.0068534089115027,280.4,1.0818,0.0069346173575048
1999-04-09,0.0231810722310372,281.3,1.0778,0.0116422676155263
1999-04-12,-0.0039942417854621,282.6,1.0867,0.0011346335897248
1999-04-13,0.0111761024352168,283.1,1.0765,0.003804704109203
1999-04-14,-0.0083869274209005,281.2,1.0787,0.0003226003339213
1999-04-15,0.0108837421768945,283.75,1.0786,-0.006368932810844
1999-04-16,0.0100532048604857,283.6,1.0668,-0.0075456785623732
1999-04-19,0.0089257010709764,284.3,1.0636,-0.0013080245665515
1999-04-20,-0.0036277500200058,284.1,1.0646,-0.0095775633641963
1999-04-21,0.0076014207486971,283.6,1.0586,-0.0009918780213007
1999-04-22,0.0031697729338653,283.3,1.0581,0.0120791745230854
1999-04-23,-0.0031597572209487,283.3,1.0634,0.0106269921369279
1999-04-26,-0.006212824598707,281.0,1.0614,0.0021030295909167
1999-04-27,0.0032534433752022,281.75,1.063,0.0037936484617455
1999-04-28,0.0174858518807934,282.5,1.0666,0.0067546032317222
1999-04-29,0.0046243607962603,285.8,1.0604,-0.0056709070175219
1999-04-30,0.0013685072668609,286.4,1.0597,-0.0062656025987277
1999-05-03,0.0040378256461977,286.1,1.0589,-0.0033141829010185
1999-05-04,0.0043308601565019,285.3,1.0564,0.0080292168808293
1999-05-05,0.0006776357365292,287.1,1.0667,-0.0080456994155376
1999-05-06,-0.016005947207822,289.1,1.0799,0.0032443830974056
1999-05-07,-0.0065064646519031,282.5,1.0786,-0.0001617537701014
1999-05-10,0.007934474071926,277.8,1.0735,0.0005660817254209
1999-05-11,-0.0084968176377342,278.0,1.0732,-0.0004040730484361
1999-05-12,-0.0110900727201017,276.8,1.0645,0.0022636645666966
1999-05-13,0.0122976465257913,277.5,1.0622,0.0002420334273962
1999-05-14,-0.0022660075622588,275.7,1.0676,0.0015322777532762
1999-05-17,-0.0037221396652384,274.2,1.0685,-0.0169095737073585
1999-05-18,-0.0202634054289867,273.8,1.069,-0.0083545524106961
1999-05-19,-0.005493834648457,272.9,1.0634,0.0012389527219756
1999-05-20,0.0001300076239405,274.2,1.0639,0.0043722562626744
1999-05-21,0.0056533570773802,272.75,1.0572,0.0005749085600617
1999-05-24,-0.0167355675227568,272.2,1.0585,-0.0050894363982783
1999-05-25,0.0029571988805743,270.3,1.0627,-0.0098185019918007
1999-05-26,0.0058970592587319,268.9,1.0535,-0.0123322448620054
1999-05-27,-0.0053413711659585,270.3,1.0473,0.0053993943137666
1999-05-28,-0.0031433905509622,270.0,1.0479,-0.0134261984187095
1999-06-01,-0.0146498207177504,267.4,1.0434,0.0002528040725222
1999-06-02,0.0132008510902368,265.2,1.0382,-8.424672625861884e-05
1999-06-03,0.0044745191177153,265.5,1.0382,0.0016012341590723
1999-06-04,0.0161808144085358,265.1,1.0315,0.0029448885149347
1999-06-07,0.0181795217443652,265.4,1.0316,0.0131710999764051
1999-06-08,-0.0046853582482284,262.0,1.0385,0.006624161897363
1999-06-09,0.0111323157377425,259.1,1.0466,-0.0013160941434563
1999-06-10,-0.0023906236635359,258.2,1.0474,0.0029651393281677
1999-06-11,0.0184145679136846,260.4,1.0474,-0.0062412547348987
1999-06-14,0.0010526853870997,260.25,1.0437,0.0018180921300507
1999-06-15,0.0001855671076167,258.9,1.0392,-0.0059391841558923
